region,country,Location code,ISO3 Alpha-code,ISO2 Alpha-code,Year,"Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)",Institutionalized Democracy,Institutionalized Autocracy,Combined Polity Score,electoral democracy index,liberal democracy index,participatory democracy index,deliberative democracy index,egalitarian democracy index,Corruption Perception Index Score,EFW Overall Score,EFW 1. Size of Government,EFW 2. Legal System and Property Rights,EFW 3. Sound Money,EFW 4. Freedom to Trade Internationally,EFW 5. Regulation,WJP Overall Score: Rule of Law Index,WJP1. Constraints on Government Powers,WJP2. Absence of Corruption,WJP3. Open Government ,WJP4. Fundamental Rights,WJP5. Order and Security,WJP6. Regulatory Enforcement,WJP7. Civil Justice,WJP8. Criminal Justice,HDI,WGI PCA Score,WGI1_Accountability,WGI2_PoliticalStability,WGI3_GovtEffectiveness,WGI4_Regulatory,WGI5_RuleOfLaw,WGI6_ControlCorruption,Freedom House Index,Freedom Status,"GDP per Capita, PPP(Constant 2011)",E-Government Development Index,E-Participation Index,Public employment (total public sector)
Central Asia,Kazakhstan,398,KAZ,KZ,1950,6787 ,3273 ,3514 ,3 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1951,7021 ,3386 ,3635 ,3 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1952,7259 ,3501 ,3758 ,3 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1953,7498 ,3617 ,3882 ,3 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1954,7742 ,3734 ,4008 ,3 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1955,7994 ,3856 ,4138 ,3 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1956,8257 ,3983 ,4274 ,3 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1957,8534 ,4117 ,4417 ,3 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1958,8823 ,4257 ,4565 ,3 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1959,9122 ,4403 ,4719 ,3 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1960,9430 ,4553 ,4877 ,3 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1961,9742 ,4704 ,5038 ,4 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1962,10059 ,4858 ,5201 ,4 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1963,10377 ,5013 ,5364 ,4 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1964,10690 ,5165 ,5525 ,4 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1965,10993 ,5311 ,5682 ,4 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1966,11289 ,5454 ,5835 ,4 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1967,11584 ,5597 ,5988 ,4 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
