region,country,Location code,ISO3,ISO2,Year,total population,0-4 age population,5-9 age population,10-14 age population,15-19 age population,20-24 age population,25-29 age population,30-34 age population,35-39 age population,40-44 age population,45-49 age population,50-54 age population,55-59 age population,60-64 age population,65-69 age population,70-74 age population,75-79 age population,80-84 age population,85-89 age population,90-94 age population,95-99 age population,100+ age population
Central Asia,Kazakhstan,398,KAZ,KZ,1950,6656,875,520,924,568,712,417,318,434,382,347,261,225,242,177,128,76,33,13,4,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1951,6888,973,486,907,624,721,493,326,425,397,358,275,223,238,184,129,78,34,12,3,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1952,7124,1033,520,847,719,692,582,345,405,418,364,292,225,228,192,130,80,36,12,3,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1953,7362,1081,608,747,825,646,670,374,380,438,369,310,230,217,200,131,82,38,12,3,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1954,7606,1122,733,624,908,621,740,419,363,450,376,326,238,207,205,134,83,39,13,3,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1955,7859,1163,863,525,944,632,783,477,358,452,386,340,248,203,205,137,85,40,13,3,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1956,8124,1211,960,491,927,685,790,550,365,443,401,350,261,202,201,142,86,41,14,3,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1957,8406,1270,1019,524,867,778,760,636,382,423,420,357,277,204,193,149,87,43,14,3,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1958,8699,1338,1065,611,767,881,714,721,410,398,439,361,294,209,184,156,88,44,15,3,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1959,9003,1409,1106,735,646,962,688,789,454,381,451,368,309,216,177,159,90,45,16,4,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1960,9319,1480,1148,864,548,996,696,829,509,376,452,378,324,227,174,160,93,46,16,4,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1961,9639,1542,1198,959,515,975,744,832,578,383,443,393,338,241,174,158,98,47,16,4,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1962,9959,1585,1261,1016,549,915,831,800,659,399,424,413,347,259,178,152,104,48,16,4,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1963,10278,1606,1334,1063,635,817,929,752,740,427,400,433,355,278,184,146,109,49,17,4,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1964,10591,1607,1410,1104,760,698,1007,724,804,469,383,445,364,296,193,142,112,51,17,4,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1965,10898,1590,1484,1146,888,604,1040,732,842,522,380,447,377,312,204,140,113,54,17,4,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1966,11198,1561,1547,1197,983,575,1022,781,847,590,387,439,392,325,217,142,112,57,18,4,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1967,11491,1528,1592,1260,1041,610,965,868,816,670,403,421,412,335,233,145,109,60,18,4,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1968,11778,1491,1615,1333,1088,698,871,966,771,749,431,399,431,342,250,151,105,64,19,4,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1969,12042,1456,1617,1409,1127,819,754,1042,744,811,471,383,442,351,266,158,102,65,20,4,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1970,12265,1429,1599,1481,1164,938,655,1069,748,845,521,377,441,360,279,166,101,65,21,4,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1971,12444,1418,1565,1539,1204,1021,615,1039,788,840,582,379,428,370,288,176,101,64,22,5,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1972,12612,1424,1524,1574,1253,1068,638,967,862,797,651,390,404,383,293,188,103,62,24,5,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1973,12790,1442,1481,1590,1314,1102,713,859,947,742,718,412,378,396,297,201,106,59,25,5,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1974,12972,1469,1442,1588,1380,1130,824,733,1010,706,769,446,358,401,302,213,111,57,26,5,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1975,13159,1496,1416,1568,1444,1158,938,630,1030,706,795,491,350,398,309,223,118,57,26,6,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1976,13346,1521,1405,1534,1501,1195,1019,590,1000,744,789,548,352,386,318,230,125,57,25,6,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1977,13544,1541,1410,1498,1541,1242,1063,616,932,820,751,615,362,365,330,234,133,58,24,6,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1978,13750,1558,1428,1462,1561,1300,1095,693,830,908,701,680,383,341,341,237,143,60,23,7,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1979,13958,1579,1452,1426,1563,1363,1119,804,708,973,670,728,416,323,346,242,151,63,23,7,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1980,14173,1603,1478,1403,1548,1427,1145,918,611,995,673,754,458,315,343,247,158,67,23,7,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1981,14397,1632,1500,1396,1520,1483,1178,999,575,968,714,749,512,317,333,255,163,72,23,7,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1982,14634,1670,1520,1402,1487,1523,1224,1043,602,904,789,713,575,328,315,265,166,77,24,6,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1983,14886,1716,1539,1421,1451,1544,1282,1075,678,806,874,666,635,347,294,275,168,83,25,6,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1984,15148,1765,1561,1447,1419,1547,1344,1101,789,689,938,638,681,377,278,279,171,88,27,6,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1985,15413,1818,1585,1474,1398,1533,1407,1127,901,595,960,641,705,416,273,277,176,92,28,6,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1986,15721,1865,1618,1506,1396,1505,1471,1178,987,569,938,675,694,463,274,266,182,95,31,6,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1987,16072,1906,1654,1545,1415,1470,1524,1256,1053,609,882,731,655,514,281,249,189,98,33,7,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1988,16431,1949,1684,1583,1451,1433,1553,1337,1120,687,808,789,615,554,298,232,193,101,36,7,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1989,16705,1978,1718,1607,1484,1400,1545,1397,1169,785,717,845,588,583,324,221,193,103,38,8,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1990,16867,1979,1758,1613,1505,1379,1508,1434,1197,879,635,884,582,596,357,215,189,106,40,8,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1991,16994,1956,1802,1616,1523,1376,1462,1465,1223,961,588,882,603,590,394,214,181,108,41,9,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1992,17043,1906,1843,1617,1531,1380,1408,1480,1246,1019,588,832,649,565,430,219,170,110,42,9,1,0
Central Asia,Kazakhstan,398,KAZ,KZ,1993,16980,1833,1870,1616,1525,1383,1352,1469,1263,1048,632,744,705,529,459,229,158,111,43,10,1,0
